,video_id,comment,sentiment_score,sentiment_label,positive_score,negative_score
0,_uQrJ0TkZlc,"🔥 Want to master Python? Get my Python mastery course: http://bit.ly/35BLHHP
👍 Subscribe for more Python tutorials like this: https://goo.gl/6PYaGF",0.1689,Positive,0.1689,
1,_uQrJ0TkZlc,Thank you for this video but I wish you did it with windows as it is the most widely used operating system out there. A lot of things don't add up when using windows to follow your tutorial,0.6486,Positive,0.6486,
2,_uQrJ0TkZlc,Thank you❤🌹🌹,0.7717,Positive,0.7717,
3,_uQrJ0TkZlc,I am learning python so I can become a data scientist.,0.0,Neutral,,
4,_uQrJ0TkZlc,"Hello teacher 
I cant dowland the the python summary notes cus show your connection is not privacy",0.0,Neutral,,
5,_uQrJ0TkZlc,In 38:45 why do you put square brackets?,0.0,Neutral,,
6,_uQrJ0TkZlc,wrong acount sorry,-0.5267,Negative,,-0.5267
7,_uQrJ0TkZlc,"when you make the ai instead of sklearn.externals import joblib

import it directly by just import joblib",0.0,Neutral,,
8,_uQrJ0TkZlc,"I need to become a software developer and, want to create some useful applications for people",0.6486,Positive,0.6486,
9,_uQrJ0TkZlc,"18:21 hey mosh sir i m having problem here i cant understand this 
i wrote my code like this 
name = (""john smith"")
age = 20 
print (name)
print(age)
print('HE IS A NEW PAITENT')",-0.0516,Negative,,-0.0516
10,_uQrJ0TkZlc,"at 2:03:06 i practise selfly by finding minimum number from the list.
numbers = [5,6,7,8,9,1]
min = numbers[0]
for number in numbers:
    if number < min:
        min = number
print(min)",0.296,Positive,0.296,
11,_uQrJ0TkZlc,"I M LEAVING THIS COMMENT SO WHEN I FULLY LEARN PYTHON SO I CAN COME BACK AND THIS COMMENT WOULD REMIND ME MY JOURNEY 
*AND I COULD ALSO THANKS TO MOSH FOR THIS START UP*",0.4404,Positive,0.4404,
12,_uQrJ0TkZlc,"I have a question regarding the Car Game. I got different results if the order of the conditionals differed from the tutorial (for example, the 'help' conditionals came first). Is anyone having the same condition? Great Python tutorial btw, thanks a lot!",0.8748,Positive,0.8748,
13,_uQrJ0TkZlc,can't download python it says package issues can anyone guide me what to do next?,0.0,Neutral,,
14,_uQrJ0TkZlc,my brother is doing cali linux,0.0,Neutral,,
15,_uQrJ0TkZlc,"1:20:44 / 6:14:06... you can input anything and as long as it is not a little or bit ""L"" it will still spit out your weight in Lbs....WTF? so far has been so good",0.5777,Positive,0.5777,
16,_uQrJ0TkZlc,"on Windows,to use the emoji, its windows key+ period (win+""."")",0.5859,Positive,0.5859,
17,_uQrJ0TkZlc,Hello mosh!. Great work with the video and am excited about my python journey with your courses. But please check the link for the Cheat Sheets. It's not working?,0.3595,Positive,0.3595,
18,_uQrJ0TkZlc,"code for Qestion ask  at 1:55:50 interval.
numbers=[2,2,2,2,5]
for x_count in numbers:
    output= ''
    for count in range(x_count):
        output= output+ '+'
    print(output)",0.0,Neutral,,
19,vLqTf2b6GZw,Let's take the moment to appreciate how much effort she puts into the content for us.,0.4019,Positive,0.4019,
20,vLqTf2b6GZw,Thanku so much for providing us a very important notes... Your,0.2716,Positive,0.2716,
21,vLqTf2b6GZw,plz make AI ML series and roadmap,0.0772,Positive,0.0772,
22,vLqTf2b6GZw,"Yes ,plz shardha made Play list videos of detail python n ML /AI",0.6597,Positive,0.6597,
23,vLqTf2b6GZw,Thanks a lot,0.4404,Positive,0.4404,
24,vLqTf2b6GZw,Thanks for your Valuable inputs @Apna College & Team !,0.7424,Positive,0.7424,
25,vLqTf2b6GZw,"Aapke dimaag me physics chemistry maths ke marks 95,98,97 aa gaye.
Itne to mere imagination me bhi nahi hote. 🙂",0.4033,Positive,0.4033,
26,vLqTf2b6GZw,pycharm is tooo better,0.4404,Positive,0.4404,
27,vLqTf2b6GZw,This video is just blah blah it is very confusing for ppl who are just began to learn python..a big no for this video if u are a beginner,-0.6361,Negative,,-0.6361
28,vLqTf2b6GZw,Mam im a beginner. i have no knowledge about programming but i think you should concentrate about your teaching by knowing our blank strengths,0.4497,Positive,0.4497,
29,vLqTf2b6GZw,Please mam make aiml related video and create a history mam,0.5267,Positive,0.5267,
30,vLqTf2b6GZw,"I am writing following code but received results as per code instructions instead of my expectation 

marks = [95, 98, 97]
marks.append(99)
marks.insert(-1, 100)
for score in marks:
    print(score)

Code output
95
98
97
100
99

my expected output should be as below because I inserted 100 after appending 99 but code is responding correctly because I inserted 100 at the end in original marks variable instead of in variable resulted after appending 99. If I want my expected output should be printed then how should I write code without shuffling insert function with append function i.e. my insert function should come after append function. 

95
98
97
99
100

one way to get my desired output is via below code but that has shuffled the precedence of insert function. how can I get my desired output without shifting the precedence.

marks = [95, 98, 97]
marks.insert(-1, 99)
marks.append(100)
for score in marks:
    print(score)",0.8271,Positive,0.8271,
31,vLqTf2b6GZw,Mam ye to download karne keleye purchase kar na padta he,0.0,Neutral,,
32,vLqTf2b6GZw,"Hello dii
Can you make videos on computer science class 12 😅",0.3612,Positive,0.3612,
33,vLqTf2b6GZw,This course is not conver all the topics,0.0,Neutral,,
34,kqtD5dpn9C8,"🔥 Want to master Python? Get my complete Python course: http://bit.ly/35BLHHP
👍 Subscribe for more Python tutorials like this: https://goo.gl/6PYaGF",0.1689,Positive,0.1689,
35,kqtD5dpn9C8,"weight = int(input(""What is your weight?""))

units = input(""Enter (K) for Kilograms or (L) for pounds."")

if units == 'K' or units == 'k':
    print(""Weight in Kg:"" + str(weight))
else:
    conv_weight = weight/2.20
    print(""Weight in Kg:"" + str(conv_weight))
print('Done')",0.0,Neutral,,
36,kqtD5dpn9C8,"age = 20

first_name = ""John""
last_name = ""Smith""

print(first_name, last_name, age)",0.0,Neutral,,
37,kqtD5dpn9C8,"this is for ppl will a high knowledge of programing using Java, java script, c++, and others.",0.0,Neutral,,
38,kqtD5dpn9C8,"Great Starter!  I'm less apprehensive (at 48) to start Python after watching this.  I've spent 20 years writing SAS, SQL and VBA which seems to have set me up nicely to move into Python! Thanks!",0.8951,Positive,0.8951,
39,kqtD5dpn9C8,"FIRST EXERCISE ANSWER (MY ANSWER)
print(""1.Cheked in a patient named John smith.\n2.He is 20 years old.\n3.He is a new patient.\n"")",0.0,Neutral,,
40,kqtD5dpn9C8,I’m learning python primarily for data science,0.0,Neutral,,
41,kqtD5dpn9C8,Where can I download Pycharm for my new iPad? Thanks for your support… ❤️🙏,0.4404,Positive,0.4404,
42,kqtD5dpn9C8,Where are the solitions for the exercises,0.0,Neutral,,
43,kqtD5dpn9C8,"Weight = float(input(""What is your weight? ""))
WeightType = input(""Is it in kg or lbs? "")

if WeightType.lower() == ""kg"":
    convert = Weight * 2.205
    print(""Your weight in lbs is "" + str(convert))
elif WeightType.lower() == ""lbs"":
    convert1 = Weight / 2.205
    print(""Your weight in kg is "" + str(convert1))
else:
    print(""Your input is invalid. You didn't specify kg or lbs."")",0.0,Neutral,,
44,kqtD5dpn9C8,"hello,why i can't find the website page for the community pycharm download",0.0,Neutral,,
45,kqtD5dpn9C8,"Is it foolish to study computer science in 2023
by the time I graduate It will be 2027
Can I still get a job? cuz of the extremely fast development of Ai ??
Is there any future for programmers??",-0.4696,Negative,,-0.4696
46,kqtD5dpn9C8,FYI The video was made with Python 3.7 which is deprecated already.,0.368,Positive,0.368,
47,kqtD5dpn9C8,"name = 'John Smith'
age = 20
new = True

print(name)
print(age)
if new == True:
    print('New Patient')",0.6808,Positive,0.6808,
48,kqtD5dpn9C8,"0:00:00 Introduction 
0:00:30 What You Can Do With Python 
0:01:15 Your First Python Program 
0:05:30 Variables
0:09:08 Receiving Input
0:10:48 Type Conversion
0:18:49 Strings
0:23:41 Arithmetic Operators 
0:25:59 Operator Precedence 
0:27:11 Comparison Operators 
0:28:52 Logical Operators
0:31:06 If Statements
0:36:16 Exercise
0:41:42 While Loops
0:45:11 Lists
0:48:47 List Methods
0:52:16 For Loops
0:54:54 The range() Function 
0:57:43 Tuples",0.0,Neutral,,
49,kqtD5dpn9C8,"9:05
Age = 20
Name = John Smith 
Status = New Patient 
print(Age)
print(Name)
print(Status)",0.0,Neutral,,
50,kqtD5dpn9C8,"I'm learning Python, because I want to most likely work in Cloud Security",0.4019,Positive,0.4019,
51,kqtD5dpn9C8,"Thank you so much! It took me longer than an hour,but I got it! it is quite a good introduction!",0.7618,Positive,0.7618,
52,rfscVS0vtbw,Want more from Mike? He's starting a coding RPG/Bootcamp - https://simulator.dev/,0.0772,Positive,0.0772,
